Y,a.pinene,camphene,myrcene,?.Phellandrene,g.terpinene,p.cymene,terpinolene,Limonene_oxide_cis,Pinocarvone,Unk_1,bornylacetate,X4.ol.terpinen,trans.Verbenol,verbenone,sesquiterpeni.1,sesquiterpene.2,a.humulene,sesquiterpene.3,B.caryophillene.oxide,unk_.2,?.epi.Cadinol,Selina.6.en.4.ol,?.Cubebene,a.copaene,b.copaene
Abies alba,"37,9164360325459","0,712349957340364","2,09115864610053","1,5125671029909","0,0578355008532175","0,0180002550132329","0,216510843915016","0,0155110623341177",0,"2,4766828036537",0,"0,0453456496101179",0,0,"0,461924610673629","1,22895844432509","0,275788378234469","1,33313754934014",0,0,"1,62015968792499","4,02969239083137","1,22629269487053","0,682197237082711","1,07778713148069"
Abies alba,"11,9430087521342","0,176997298932429","4,24958297139132","0,559336706452731",0,"0,0209734223002276","0,353298198089486","0,20099709004515",0,"0,885546305882823",0,"0,0293218664125969",0,0,"0,0620309079532825","1,62749881135521","0,918921425073562","0,317058816041909","0,11462472823858","0,282809878274879","1,00378063570095","3,04016612099664","0,620802631999053","0,226910487373421","0,258663414402678"
Abies alba,"19,6946226938081","0,264168781741598","1,39685157191029","0,0612698060026808",0,"0,0610862533645755","0,0218915156186836","1,86875775568849",0,"0,331928155005335",0,0,"0,683367700104439","0,188823392391685","0,0222756227493603","0,0742614121531175",0,0,0,"4,41829977701911",0,"0,446150999171217","0,46388806866492","0,0461765134141814","0,0862259472040116"
Abies alba,"27,2243637731784","0,417184308146843","1,13638232410181","0,476714585229653",0,"0,0385951544813768","0,0406390664880808",0,0,"2,10471605091679",0,0,0,0,0,0,0,0,0,"15,604129244324",0,0,"0,122684575228655","0,124487692353255","0,153018321789997"
Abies alba,"20,0635179402899","0,237359384930136","1,96299492393673","1,05137022605349",0,"0,0399738652727213","0,0986808151812907","0,0418773092981764",0,"0,427643475852329",0,0,"0,603734033111408","0,455513801284212","0,0491994369710532","0,667796863562237","0,336373136241369","0,276581419650773",0,"2,5332514309028",0,"1,11558742526215","0,168288352044272","0,0832497516162926","0,163822109852441"
Abies alba,"22,4120398665415","0,449879071776091","1,19424107865252","0,298071432872116",0,"0,154942978984369","0,0535543143232166","0,195107657614943","1,52155652866555",0,0,0,"3,67364788817602","4,88675119334591","0,139752919341486",0,"0,0452461726324874","0,741878245195064","1,46317504150888","7,97078289976925",0,0,"0,415623447449803","0,19272661121378","0,275062097589719"
Abies alba,"27,2266485637458","0,677989162590128","0,486416216330881","0,321577867890882",0,"0,294054382820999","0,0480445564627918","0,317269000375686","1,56264437214878",0,0,0,"3,53698268359841","5,17462557075389",0,0,0,"0,811066284696361","1,11181591389185","19,269891596516",0,0,"0,528474843126861","0,546085112968666","0,462802669456693"
Abies alba,"24,5096692505248","0,452520927052892","1,88681990411008","0,928054132635949","0,0290312275041833","0,03214404293508","0,166022399783002","0,0190754423884775",0,"0,678564412272994",0,"0,0138376072676177","0,263239933178419",0,"0,195074176458773","0,573425291400777","0,229793778829921","1,15110554000848","0,0940884684029743","1,40886828893034","1,51123878908073","3,24409515843672","0,892573571603918","0,689940671316788","0,67699134934011"
Abies alba,"14,9285701044412","0,3086673907086","2,38935553165779","0,317369883476715","0,00980609332065052","0,0745873132625661","0,0821330798004271","0,607157838303335","0,592181307292101",0,0,0,"0,758634392094547","0,866146417870722","0,0589263038373467","0,294063154073287","0,0893785716398452","0,589043618390171","0,233024799770643","1,50564868475648","0,534990848317934","2,61289752380644","0,209112138638447","0,223550181653361","0,248728981897489"
Abies alba,"28,0539145515532","0,276166127133294","1,17436699446036","0,886464835435409",0,"0,124426901866031","0,0772190977038485",0,0,"0,360732062252276",0,0,"0,406456703180372",0,0,0,0,"0,216900413414329",0,"49,7046004106883",0,0,0,0,"0,089527879351896"
Abies alba,"14,591535979553","0,157869554020704","1,73756836625453","0,925526350054522",0,"0,0546888745131292","0,0573670731296382","0,128463054341566","0,245123707287994",0,0,0,"0,449079580037642","0,653859073021255","0,0410398776528103","0,302398736185926","0,153476320240398","0,551173768221553","0,0912509599281879","1,05568034845515","0,28109919802151","0,748797008288834","0,155879841221494","0,156783812383848","0,138804315319469"
Abies alba,"8,418346612227","0,0966800396527901","1,79901834361309","0,134556458147851",0,"0,0393398075901844","0,0240810712409648","0,228669847281723",0,"0,1730235021155",0,0,"0,295002719762177","0,427873445668231",0,"0,264156584662196","0,0703357179047791","0,211909012334366","0,294554895828949","2,14567217277692",0,"0,682165413315016","0,0515702966556268","0,0451131335917372","0,0449549235772047"
Abies alba,"28,2050093224211","0,437110995666916","0,702543312015887","0,668493982867062",0,"0,166890288494403","0,0706412680152955","0,178827106796682",0,"0,900899434381229",0,0,"1,85676892255125","3,26462864768774","0,0987057670301952","0,328695778777925","0,1401273490544","0,880457735620104","0,72819542399507","4,7168154203394",0,"2,69885917610455","0,613785204047897","0,396090432617772","0,525588467142365"
Abies alba,"18,9157840012374","0,24802690953664","0,784938464265053","0,375016976158705",0,"0,10337590465451","0,0474818647457951","0,406220173999393","0,562425839689784",0,0,0,"1,33474709549352","2,10534017400425",0,"0,137878878017812",0,"0,565569896754836",0,"17,9069108296018",0,"0,390346789230583","0,194039474421907","0,107033146830929","0,0530483933367852"
Abies alba,"23,4897564149417","0,361989312190121","0,688450961966961","0,629036110905668",0,"0,128947531325707","0,0420667927469529","0,200073689455328","1,09457749655732",0,0,0,"2,01417322349871","4,13440377130682","0,120163004245553","0,987613910815695","0,116539723977002","1,98249893734216","1,22275693119872","9,25491088287134","0,659522959763946","1,50785436958855","0,760431757938886","0,538918417076776","0,702626898208436"
